abandoned adj.  1 deserted, forsaken. 2 unrestrained, profligate.
thing n.  1 entity, idea, action, etc., that exists or may be thought about or perceived. 2 inanimate material object (take that thing away). 3 unspecified item (a few things to buy). 4 act, idea, or utterance (silly thing to do). 5 event (unfortunate thing to happen). 6 quality (patience is a useful thing). 7 person regarded with pity, contempt, or affection (poor thing!). 8 specimen or type (latest thing in hats). 9 colloq. One's special interest (not my thing). 10 colloq. Something remarkable (there's a thing!). 11 (prec. By the) colloq. A what is proper or fashionable. B what is needed (just the thing). C what is to be considered (the thing is, shall we go or not?). D what is important. 12 (in pl.) Personal belongings or clothing (where are my things?). 13 (in pl.) Equipment (painting things). 14 (in pl.) Affairs in general (not in the nature of things). 15 (in pl.) Circumstances, conditions (things look good). 16 (in pl. With a following adjective) all that is so describable (things greek).  do one's own thing colloq. Pursue one's own interests or inclinations. Have a thing about colloq. Be obsessed or prejudiced about. Make a thing of colloq. 1 regard as essential. 2 cause a fuss about. [old english]
third adj.  & n. 1 next after second. 2 each of three equal parts of a thing.  thirdly adv. [old english: related to *three]
thirty adj.  & n. (pl. -ies) 1 three times ten. 2 symbol for this (30, xxx, xxx). 3 (in pl.) Numbers from 30 to 39, esp. The years of a century or of a person's life.  thirtieth adj. & n. [old english: related to *three]
thong n.  Narrow strip of hide or leather. [old english]
thorough adj.  1 complete and unqualified; not superficial. 2 acting or done with great care and completeness. 3 absolute (thorough nuisance).  thoroughly adv. Thoroughness n. [related to *through]
thousand adj.  & n. (pl. Thousands or (in sense 1) thousand) (in sing. Prec. By a or one) 1 ten hundred. 2 symbol for this (1,000, m, m). 3 (in sing. Or pl.) Colloq. Large number.  thousandfold adj. & adv. Thousandth adj. & n. [old english]
threat n.  1 declaration of an intention to punish or hurt if an order etc. Is not obeyed. 2 indication of something undesirable coming (threat of war). 3 person or thing as a likely cause of harm etc. [old english]
three adj.  & n. 1 a one more than two. B symbol for this (3, iii, iii). 2 size etc. Denoted by three. [old english]
threshold n.  1 strip of wood or stone forming the bottom of a doorway and crossed in entering a house etc. 2 point of entry or beginning. 3 limit below which a stimulus causes no reaction. [old english: related to *thrash in the sense ‘tread’]
thriller n.  Exciting or sensational story or play etc., esp. About crime or espionage.
throat n.  1 a windpipe or gullet. B front part of the neck containing this. 2 literary narrow passage, entrance, or exit.  cut one's own throat harm oneself or one's interests. Ram (or thrust) down a person's throat force on a person's attention. [old english]
thumbnail n.  1 nail of a thumb. 2 (attrib.) Concise (thumbnail sketch).
tide n.  1 a periodic rise and fall of the sea due to the attraction of the moon and sun. B water as affected by this. 2 time or season (usu. In comb.: whitsuntide). 3 marked trend of opinion, fortune, or events.  tide (-ding) over provide (a person) with what is needed during a difficult period. [old english, = *time]
tier n.  Row, rank, or unit of a structure, as one of several placed one above another (tiers of seats).  tiered adj. [french tire from tirer draw, elongate]
tiger n.  1 large asian animal of the cat family, with a yellow-brown coat with black stripes. 2 fierce, energetic, or formidable person. [greek tigris]
timber n.  1 wood prepared for building, carpentry, etc. 2 piece of wood or beam, esp. As the rib of a vessel. 3 large standing trees. 4 (esp. As int.) Warning cry that a tree is about to fall. [old english, = building]
timely adj.  (-ier, -iest) opportune; coming at the right time.  timeliness n.
timer n.  Person or device that measures or records time taken.
timing n.  1 way an action or process is timed. 2 regulation of the opening and closing of valves in an internal-combustion engine.
tiny adj.  (-ier, -iest) very small or slight.  tinily adv. Tininess n. [origin unknown]
tired adj.  1 weary; ready for sleep. 2 (of an idea etc.) Hackneyed.  tiredly adv. Tiredness n.
tissue n.  1 any of the coherent collections of specialized cells of which animals or plants are made (muscular tissue). 2 = *tissue-paper. 3 disposable piece of thin soft absorbent paper for wiping, drying, etc. 4 fine woven esp. Gauzy fabric. 5 (foll. By of) connected series (tissue of lies). [french tissu woven cloth]
titanium n.  Grey metallic element. [greek: related to *titan]
title n.  1 name of a book, work of art, etc. 2 heading of a chapter, document, etc. 3 a = *title-page. B book, magazine, etc., in terms of its title (brought out two new titles). 4 (usu. In pl.) Caption or credit in a film etc. 5 name indicating a person's status (e.g. Queen, professor) or used as a form of address or reference (e.g. Lord, mr, your grace). 6 championship in sport. 7 law a right to ownership of property with or without possession. B facts constituting this. C (foll. By to) just or recognized claim. [latin titulus]
titled adj.  Having a title of nobility or rank.
tobacco n.  (pl. -s) 1 plant of american origin with narcotic leaves used for smoking, chewing, or snuff. 2 its leaves, esp. As prepared for smoking. [spanish tabaco, of american indian origin]
toddler n.  Child who is just learning to walk.
toilet n.  1 = *lavatory. 2 process of washing oneself, dressing, etc. (at one's toilet). [french toilette diminutive of toile cloth]
token n.  1 thing serving as a symbol, reminder, or mark (as a token of affection; in token of my esteem). 2 voucher. 3 thing equivalent to something else, esp. Money. 4 (attrib.) A perfunctory (token effort). B conducted briefly to demonstrate strength of feeling (token strike). C chosen by tokenism to represent a group (token woman).
tolerance n.  1 willingness or ability to tolerate; forbearance. 2 allowable variation in any measurable property.
tom n.  (in full tom-cat) male cat. [abbreviation of the name thomas]
tomato n.  (pl. -es) 1 glossy red or yellow pulpy edible fruit. 2 plant bearing this. [ultimately from mexican tomatl]
tommy n.  (pl. -ies) colloq. British private soldier. [tommy atkins, name used in specimens of completed official forms]
ton n.  1 (in full long ton) unit of weight equal to 2,240 lb (1016.05 kg). 2 (in full short ton) unit of weight equal to 2,000 lb (907.19 kg). 3 = *metric ton. 4 (in full displacement ton) unit of measurement of a ship's weight or volume. 5 (usu. In pl.) Colloq. Large number or amount (tons of people). 6 slang a speed of 100 m.p.h. B £100.  weigh a ton colloq. Be very heavy. [originally the same word as *tun]
tooth n.  (pl. Teeth) 1 each of a set of hard bony enamel-coated structures in the jaws of most vertebrates, used for biting and chewing. 2 toothlike part or projection, e.g. The cog of a gearwheel, the point of a saw or comb, etc. 3 (often foll. By for) taste; appetite. 4 (in pl.) Force, effectiveness.  armed to the teeth completely and elaborately armed. Fight tooth and nail fight very fiercely. Get one's teeth into devote oneself seriously to. In the teeth of 1 in spite of (opposition or difficulty etc.). 2 contrary to (instructions etc.). 3 directly against (the wind etc.).  toothed adj. (also in comb.). Toothless adj. [old english]
topic n.  Subject of a discourse, conversation, or argument. [greek topos place, commonplace]
tourism n.  Commercial organization and operation of holidays.
tourist n.  1 holiday-maker, esp. Abroad (often attrib.: tourist season). 2 member of a touring sports team.
town n.  1 a densely populated built-up defined area, between a city and a village in size. B densely populated area, esp. As opposed to the country. 2 a london or the chief city or town in an area (went up to town). B central business area in a neighbourhood.  go to town colloq. Do something with great energy or enthusiasm. On the town colloq. Enjoying night-life in a town. [old english]
township n.  1 s.afr. Urban area set aside for black occupation. 2 us & can. A division of a county. B district six miles square. 3 hist. Small town or village forming part of a large parish. 4 austral. & nz small town.
toxic adj.  1 poisonous. 2 of poison.  toxicity n. [greek toxikon poison for arrows]
tractor n.  1 vehicle used for pulling farm machinery etc. 2 traction-engine. [related to *traction]
trader n.  1 person engaged in trade. 2 merchant ship.
trading n.  Act of engaging in trade.
tradition n.  1 a custom, opinion, or belief handed down to posterity. B this process of handing down. 2 artistic, literary, etc. Principles based on experience and practice; any one of these. [latin trado -dit- hand on, betray]
tragedy n.  (pl. -ies) 1 serious accident, disaster, etc.; sad event. 2 a play dealing with tragic events and ending unhappily, esp. With the downfall of the protagonist. B such plays as a genre. [greek tragoidia]
trailer n.  1 set of brief extracts from a film etc., used to advertise it in advance. 2 vehicle towed by another, esp.: a the rear section of an articulated lorry. B an open cart. C a platform for transporting a boat etc. D us a caravan.
trainer n.  1 person who trains horses, athletes, footballers, etc. 2 aircraft or simulator used to train pilots. 3  soft running shoe.
training n.  Process of teaching or learning a skill etc.
trance n.  1 a sleeplike state without response to stimuli. B hypnotic or cataleptic state. 2 such a state as entered into by a medium. 3 rapture, ecstasy. [latin transeo pass over]
transform v.  1 make a thorough or dramatic change in the form, appearance, character, etc., of. 2 change the voltage etc. Of (an alternating current).  transformation n. [latin]
transit n.  1 going, conveying, or being conveyed, esp. Over a distance. 2 passage or route. 3 apparent passage of a celestial body across the meridian of a place, or across the sun or a planet.  in transit while going or being conveyed. [latin: related to *trance]
translate v.  (-ting) 1 (also absol.) (often foll. By into) express the sense of (a word, text, etc.) In another language or in another, esp. Simpler, form. 2 be translatable, bear translation (does not translate well). 3 interpret (translated his silence as dissent). 4 move or change, esp. From one person, place, or condition, to another.  translatable adj. Translation n. Translator n. [latin: related to *transfer]
